Afst;Omschrijving;Locatie
-;Aankomst W.P. 14: Wolfersveen;-
-;Na het W.P. weg vervolgen;Wolfersveenweg
0,3;Vijfsprong rechtdoor oversteken;Wolfersveenweg
1,1;Bij zijstraat (Meeneweg) rechtdoor;-
1,4;Bij zijstraat (Hobelmansdijk) rechtdoor;-
1,8;Bij driesprong rechts aanhouden;Slingeroute
2,5;Voorrangsweg recht oversteken;Onverhard
3,1;Bij kruising (Perersdijk) recht oversteken;-
3,8;Bij kruising (Klaverdijk) recht oversteken;-
4,1;Bij driesprong links aanhouden;-
4,2;Bij kruising recht oversteken (fietspad);Vierblokkenweg
5,0;Kruising met Jachtweg oversteken;-
5,3;Bij zijstraat (Rijnweg) rechtdoor;-
5,6;Kruising Varsselseweg recht oversteken;Onverhard
5,9;Weg rechtdoor oversteken;-
6,1;Einde weg linksaf;Reerinkweg;-
6,4;Bij vijfsprong schuin rechts oversteken;Zelledijk
7,8;Het W.P. ligt na  voorrangskruising rechtsaf;Beunksteeg
Aankomst W.P. 15: Huize Zelle;;
