Afst;Omschrijving;Locatie
-;Aankomst W.P. 15: Huize Zelle;-
-;Na het W.P. weg vervolgen;Beunksteeg
0,4;Kruising rechtdoor oversteken;-
1,3;Gevaarlijke kruising rechtdoor oversteken;Brandenborchweg
1,6;Kruising (Vosterweg) recht oversteken;-
1,8;Brug over;-
2,7;Bij kruising links;Rommelderdijk, onverhard
3,7;Bij driesprong rechts aanhouden;Onsteinseweg
3,8;Pas op: bewaakte overgang!;-
4,4;Einde weg rechtsaf en direct linksaf;Ruurloseweg, Schoneveldsedijk
5,2;Kleine brug over;-
5,6;Bij kruising rechtsaf;Wiersserbroekweg
7,1;Bij kruising linksaf;Vrochterdijk
7,8;Het W.P. is voor de kruising;-
Aankomst W.P. 16: Hagenbeek;;
